,Title,Artist,ConstituentID,dateCreated,Medium,Department,dateAcquired,URL,ThumbnailURL,Gender,Nationality
105784,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146745,http://www.moma.org/media/W1siZiIsIjIzMzU0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=81bd975efce1da5f,F,Yugoslav
105785,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146746,http://www.moma.org/media/W1siZiIsIjIzMzU0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=157300a45b1f69ba,F,Yugoslav
105786,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching and aquatint with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146747,http://www.moma.org/media/W1siZiIsIjIzMzU0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=59d3bb9d6a9f0cb5,F,Yugoslav
105787,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146748,http://www.moma.org/media/W1siZiIsIjIzMzU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=099f05d796d4db8f,F,Yugoslav
105788,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146749,http://www.moma.org/media/W1siZiIsIjIzMzU0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc28c32d466f6e37,F,Yugoslav
105789,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146750,http://www.moma.org/media/W1siZiIsIjIzMzU0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c43d291f2dd30466,F,Yugoslav
105790,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146751,http://www.moma.org/media/W1siZiIsIjIzMzU0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e0060691f30e65e,F,Yugoslav
105791,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146752,http://www.moma.org/media/W1siZiIsIjIzMzU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=75d9ca193a70bb64,F,Yugoslav
105792,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146753,http://www.moma.org/media/W1siZiIsIjIzMzU1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2bb2567ca36f6399,F,Yugoslav
105793,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Aquatint with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146754,http://www.moma.org/media/W1siZiIsIjIzMzU1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=82a710d2872077ff,F,Yugoslav
105794,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146755,http://www.moma.org/media/W1siZiIsIjIzMzU1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b2b8a32c6124d1e2,F,Yugoslav
105795,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146756,http://www.moma.org/media/W1siZiIsIjIzMzU1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=779721fabf7764d5,F,Yugoslav
105796,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146757,http://www.moma.org/media/W1siZiIsIjIzMzU1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0244cf7122bc5b86,F,Yugoslav
105797,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146758,http://www.moma.org/media/W1siZiIsIjIzMzU1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f6d777c1e93e6a3d,F,Yugoslav
105798,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146759,http://www.moma.org/media/W1siZiIsIjIzMzU1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1de6eee3b7ff6be5,F,Yugoslav
105799,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching and aquatint with gold leaf and chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146760,http://www.moma.org/media/W1siZiIsIjIzMzU1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4c4139906d244ac1,F,Yugoslav
105800,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146761,http://www.moma.org/media/W1siZiIsIjIzMzU1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=383e17385eb16abe,F,Yugoslav
105801,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching and aquatint with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146762,http://www.moma.org/media/W1siZiIsIjIzMzU2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4a02dcf3a970bcb5,F,Yugoslav
105802,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146763,http://www.moma.org/media/W1siZiIsIjIzMzU2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b7120840edb3ac43,F,Yugoslav
105876,Title page from Spirit Cooking,Marina Abramović,26439,1996,Title page from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146897,http://www.moma.org/media/W1siZiIsIjIxODkwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f00823ef8feb615a,F,Yugoslav
110266,2006: Trance/Borders,"Various Artists, Marina Abramović, George Condo, Sue de Beer, Adam Helms, John Newsom, William Villalongo, Papo Colo","24409, 26439, 1210, 36505, 41986, 41987, 41988, 31699",2006,"Portfolio of four screenprints (including cover with collage additions) and three digital prints (one with screenprint, one with die-cut, paint, and collage additions)",Drawings & Prints,2012,http://www.moma.org/collection/works/159408,,"missing, F, M, F, M, M, M, M","missing, Yugoslav, American, American, American, American, American, missing"
111117,Light Side/Dark Side from 2006: Trance/Borders,Marina Abramović,26439,2006,"Digital print from a portfolio of three digital prints (one with screenprint, one with die-cut, paint, and collage additions), and four screenprints (including cover with collage additions)",Drawings & Prints,2012,http://www.moma.org/collection/works/162418,http://www.moma.org/media/W1siZiIsIjI0Nzg3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b7b52b7b560b8a08,F,Yugoslav
127875,25.XI-2.XII 4.XII-8.XII 83,Julije Knifer,30437,1983,Graphite on paper,Drawings & Prints,2016,http://www.moma.org/collection/works/215815,http://www.moma.org/media/W1siZiIsIjM5NTUzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3a61be3e4446138a,M,Yugoslav
