Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled. (residential backyard scene),Gregory Crewdson,7035,"(American, born 1962)",(American),(1962),(0),(Male),1996,Gelatin silver print,"18 5/16 × 22 11/16"" (46.5 × 57.6 cm)",Arthur M. Bullowa Fund,379.1997,Photograph,Photography,1997-10-09,N,52161,,,,,,46.5,,,57.6,,
"Fall Branch, Tennessee",Mike Smith,5490,"(American, born 1951)",(American),(1951),(0),(Male),February 1998,Chromogenic color print,"17 1/16 × 20 3/4"" (43.4 × 52.8 cm)",Arthur M. Bullowa Fund,379.1998.x1-x2,Photograph,Photography,1998-06-11,N,52162,,,,,,43.4,,,52.8,,
Untitled,Robert Kozma,6990,"(American, born 1951)",(American),(1951),(0),(Male),1989,Platinum print,"7 9/16 × 9 5/8"" (19.3 × 24.4 cm)",The Family of Man Fund,380.1990,Photograph,Photography,1990-10-11,Y,52178,http://www.moma.org/collection/works/52178,http://www.moma.org/media/W1siZiIsIjIxMzYyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e0a2abb3f5f1b7be,,,,19.3,,,24.4,,
"Dealers on Break, Vegas",Jay Wolke,7709,"(American, born 1954)",(American),(1954),(0),(Male),1988,Chromogenic color print,"14 5/16 × 18"" (36.3 × 45.8 cm)",The Family of Man Fund,380.1992.x1-x2,Photograph,Photography,1992-06-18,Y,52179,http://www.moma.org/collection/works/52179,http://www.moma.org/media/W1siZiIsIjIzNDAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=36076b596986aada,,,,36.3,,,45.8,,
"Gray, Tennessee",Mike Smith,5490,"(American, born 1951)",(American),(1951),(0),(Male),1996,Chromogenic color print,"16 1/16 × 19 15/16"" (40.8 × 50.7 cm)",Arthur M. Bullowa Fund,380.1998.x1-x2,Photograph,Photography,1998-06-11,N,52182,,,,,,40.8,,,50.7,,
Mr. Bristol's Barn 1,John Szarkowski,8084,"(American, 1925–2007)",(American),(1925),(2007),(Male),1991,Gelatin silver print,"7 1/2 × 9 7/16"" (19 × 24 cm)",Gift of the artist,381.1998,Photograph,Photography,1998-06-11,Y,52203,http://www.moma.org/collection/works/52203,http://www.moma.org/media/W1siZiIsIjE5MDE5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=052654ccbd920f1a,,,,19.0,,,24.0,,
"Nuclear Test Area, Northern End of Yucca Flat, Nevada Test Site, Nevada",Emmet Gowin,2273,"(American, born 1941)",(American),(1941),(0),(Male),1996,Gelatin silver print (toned),"13 7/8 × 13 15/16"" (35.2 × 35.4 cm)","Gift of the artist and PaceWildensteinMacGill, New York",382.1997,Photograph,Photography,1997-10-09,Y,52222,http://www.moma.org/collection/works/52222,http://www.moma.org/media/W1siZiIsIjEzMzcyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=593049dfd7859975,,,,35.2,,,35.4,,
Mr. Bristol's Barn 3,John Szarkowski,8084,"(American, 1925–2007)",(American),(1925),(2007),(Male),c. 1991,Gelatin silver print,"15 1/8 × 19 5/16"" (38.5 × 49.1 cm)",Gift of the artist,382.1998,Photograph,Photography,1998-06-11,Y,52223,http://www.moma.org/collection/works/52223,http://www.moma.org/media/W1siZiIsIjIwMTE0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6f70ce67e033c3ef,,,,38.5,,,49.1,,
Berlin,Gundula Schulze-Eldowy,6992,"(German, born 1954)",(German),(1954),(0),(Female),1987,Chromogenic color print,"23 1/8 × 15 1/2"" (58.7 × 39.3 cm)",The Family of Man Fund,383.1990.x1-x2,Photograph,Photography,1990-10-11,Y,52252,http://www.moma.org/collection/works/52252,http://www.moma.org/media/W1siZiIsIjIxODUyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c8731013b1bc6b04,,,,58.7,,,39.3,,
Golf Course under Construction,Emmet Gowin,2273,"(American, born 1941)",(American),(1941),(0),(Male),1993,Gelatin silver print (toned),"9 9/16 × 9 9/16"" (24.3 × 24.3 cm)",The Fellows of Photography Fund,383.1997,Photograph,Photography,1997-10-09,Y,52255,http://www.moma.org/collection/works/52255,http://www.moma.org/media/W1siZiIsIjE5OTMwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0ceafa9f07020f83,,,,24.3,,,24.3,,
Dresden,Gundula Schulze-Eldowy,6992,"(German, born 1954)",(German),(1954),(0),(Female),1989,Chromogenic color print,"24 1/4 × 15 1/2"" (61.6 × 39.4 cm)",The Family of Man Fund,384.1990.x1-x2,Photograph,Photography,1990-10-11,Y,52272,http://www.moma.org/collection/works/52272,http://www.moma.org/media/W1siZiIsIjk3MDM1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8c13d1462194b7c4,,,,61.6,,,39.4,,
"Near Hawthorne, Nevada",Emmet Gowin,2273,"(American, born 1941)",(American),(1941),(0),(Male),1988,Gelatin silver print (toned),"9 11/16 × 9 13/16"" (24.6 × 24.9 cm)",Robert and Joyce Menschel Fund,384.1997,Photograph,Photography,1997-10-09,Y,52274,http://www.moma.org/collection/works/52274,http://www.moma.org/media/W1siZiIsIjE5OTMwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5be1dddd5603c6f0,,,,24.6,,,24.9,,
Mr. Bristol's Barn 19,John Szarkowski,8084,"(American, 1925–2007)",(American),(1925),(2007),(Male),1993,Gelatin silver print,"19 5/16 × 14 3/16"" (49.1 × 36.1 cm)",Gift of the artist,384.1998,Photograph,Photography,1998-06-11,Y,52275,http://www.moma.org/collection/works/52275,http://www.moma.org/media/W1siZiIsIjIwMTE0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d809ed3dfedc1f84,,,,49.1,,,36.1,,
"Summer Interns, Wall Street, New York",Joel Sternfeld,5656,"(American, born 1944)",(American),(1944),(0),(Male),1987,Chromogenic color print,"33 3/4 × 42 1/2"" (85.7 × 107.9 cm)",Gift of the artist,385.1990.x1-x2,Photograph,Photography,1990-10-11,N,52291,,,,,,85.7,,,107.9,,
"Snow over Pivot Agriculture, near Liberal, Kansas",Emmet Gowin,2273,"(American, born 1941)",(American),(1941),(0),(Male),1995,Gelatin silver print (toned),"9 1/2 × 9 5/8"" (24.2 × 24.5 cm)",Robert and Joyce Menschel Fund,385.1997,Photograph,Photography,1997-10-09,Y,52293,http://www.moma.org/collection/works/52293,http://www.moma.org/media/W1siZiIsIjIwMDM3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bd3c807a90bd714c,,,,24.2,,,24.5,,
The Barn,John Szarkowski,8084,"(American, 1925–2007)",(American),(1925),(2007),(Male),c. 1991,Gelatin silver print,"7 7/16 × 9 1/2"" (18.9 × 24.1 cm)",Gift of the artist,385.1998,Photograph,Photography,1998-06-11,Y,52294,http://www.moma.org/collection/works/52294,http://www.moma.org/media/W1siZiIsIjE5MjQ2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ed2a18aa2a64ae7b,,,,18.9,,,24.1,,
