ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate,WikiQID,ULAN
2798,Yoshiaki Iida,"Japanese, born 1947",Japanese,M,1947,0,,
2799,Kyo Ikebe,Japanese,Japanese,M,0,0,,
2800,Ikeda Fumio (pen Name: Suijo),"Japanese, born 1912",Japanese,M,1912,0,,
2801,Masuo Ikeda,"Japanese, 1934–1997",Japanese,M,1934,1997,Q2345434,500319869
2803,Ikko (Ikko Narahara),"Japanese, 1931–2020",Japanese,M,1931,2020,Q3148431,500323083
2804,Hisae Imai,"Japanese, 1931–2009",Japanese,F,1931,2009,,
2805,Toshimitsu Imai,"Japanese, 1928–2002",Japanese,M,1928,2002,,
2806,Birney Imes III,"American, born 1951",American,M,1951,0,Q16149026,500034771
2807,Jörg Immendorff,"German, 1945–2007",German,M,1945,2007,Q75858,500047382
2809,Akira Inada,"Japanese, born 1949",Japanese,M,1949,0,,
2810,Inagaki Tomoo,"Japanese, 1902–1980",Japanese,M,1902,1980,,
2811,Gérald Incandela,"American, born Tunisia 1952",American,M,1952,0,,
2812,Robert Indiana,"American, 1928–2018",American,M,1928,2018,Q169281,500015478
2813,Anthony Ingolia,"American, born 1921",American,M,1921,0,,
2814,Robert Ingram,Nationality unknown,Nationality unknown,M,0,0,,
2815,Mark Innerst,"American, born 1957",American,M,1957,0,,
2816,Genichiro Inokuma,"Japanese, 1902–1993",Japanese,M,1902,1993,Q11571917,
2817,Will Insley,"American, 1929–2011",American,M,1929,2011,Q1756415,500008843
2820,Eugène Ionesco,"French, 1909–1994",French,M,1909,1994,,
2821,Jean Ipoustéguy,"French, 1920–2006",French,M,1920,2006,Q695148,500003494
2822,Angelo Ippolito,"American, 1922–2001",American,M,1922,2001,,
2823,David Ireland,"American, born 1930",American,M,1930,0,Q5235360,500008538
2824,Richard W. Ireland,"American, born 1925",American,M,1925,0,,
2825,Carlos Irizarry,"American, born Puerto Rico 1938",American,M,1938,0,,
2826,Marcos Irizarry,"American, born Puerto Rico. 1936–1995",American,M,1936,1995,,
2828,Robert Irwin,"American, born 1928",American,M,1928,0,Q7345814,500022899
2829,Rolf Iseli,"Swiss, born 1934",Swiss,M,1934,0,Q120540,500000854
2830,Hortense B. Isenberg,American,American,F,0,0,,
2832,Sheila Isham,"American, born 1927",American,F,1927,0,,
2833,Shuji Ishii,Japanese,Japanese,M,0,0,,
2834,Yasuhiro Ishimoto,"Japanese, born United States. 1921–2012",Japanese,M,1921,2012,Q2139869,500036883
2835,Eiko Ishioka,"Japanese, 1938–2012",Japanese,F,1938,2012,Q297935,
2836,Yukihisa Isobe,"Japanese, born 1936",Japanese,M,1936,0,,
2837,Arata Isozaki,"Japanese, born 1931",Japanese,M,1931,0,Q317135,500024090
2838,Marvin Israel,"American, 1924–1984",American,M,1924,1984,,
2839,Robert Israel,"American, born 1939",American,M,1939,0,,
2840,Jozef Israels,"Dutch, 1824–1911",Dutch,M,1824,1911,Q528460,500012980
2841,Junichi Itahashi,"Japanese, born 1942",Japanese,M,1942,0,,
2842,Kenji Itoh,"Japanese, born 1915",Japanese,M,1915,0,,
2843,Johannes Itten,"Swiss, 1888–1967",Swiss,M,1888,1967,Q123138,500029154
2844,Graciela Iturbide,"Mexican, born 1943",Mexican,F,1943,0,,
2845,Olja Ivanjicki,"Yugoslav, 1931–2009",Yugoslav,F,1931,2009,,
2846,Earl Iversen,"American, born 1943",American,M,1943,0,,
2847,Norman Ives,"American, 1923–1978",American,M,1923,1978,,
2848,Koji Iwagami,"Japanese, born 1951",Japanese,M,1951,0,,
2849,Reika Iwami,"Japanese, born 1927",Japanese,F,1927,0,,
2850,Takeji Iwamiya,"Japanese, 1920-1989",Japanese,M,1920,1989,,
2851,Yoshiyuki Iwase,"Japanese, 1904-2001",Japanese,M,1904,2001,,
2852,Iyola,"Canadian Inuit, 1933–2000",Canadian Inuit,M,1933,2000,,
2853,Izis,"French, 1911–1980",French,M,1911,1980,Q377537,500083464
2854,Shigeru Izumi,"Japanese, 1922–1995",Japanese,M,1922,1995,,
2855,Christian Jaccard,"French, born 1939",French,M,1939,0,,
2856,Joseph Jachna,"American, 1935–2016",American,M,1935,2016,,
2857,Bill Jacklin,"British, born 1943",British,M,1943,0,,
2858,Robert Jacks,"Australian, born 1943",Australian,M,1943,0,,
2859,Gerald Jackson,"American, born 1943",American,M,1943,0,,
2861,Martin Jackson,"American, 1919–1986",American,M,1919,1986,,
2862,Oliver Jackson,"American, born 1935",American,M,1935,0,Q20089922,500072660
2863,William Henry Jackson,"American, 1843–1942",American,M,1843,1942,Q1971889,500030913
2864,David Jacob,"American, born 1928",American,M,1928,0,,
2865,Max Jacob,"French, 1876–1944",French,M,1876,1944,Q156214,500016649
2866,Walter Jacob,"German, 1893–1964",German,M,1893,1964,,
2867,Aldo Jacober,"Italian, born 1939",Italian,M,1939,0,,
2868,Lotte Jacobi,"American, born Germany. 1896–1990",American,F,1896,1990,Q70006,500032009
2869,Arne Jacobsen,"Danish, 1902–1971",Danish,M,1902,1971,Q273572,500033072
2871,Alexandra Nikolaevna Jacobson,Russian,Russian,F,0,0,,
2872,James J. Jacobson,American,American,M,0,0,,
2874,Alain Jacquet,"French, 1939–2008",French,M,1939,2008,Q325079,500012048
2875,Yvonne Jacquette,"American, born 1934",American,F,1934,0,Q8062463,500016178
2876,Willy Jaeckel,"German, 1888–1944",German,M,1888,1944,,
2877,Bernhard Jaeger,German,German,M,0,0,,
2878,N. Jay Jaffee,"American, 1921–1999",American,M,1921,1999,,
2879,Shirley Jaffe,"American, 1923–2016",American,F,1923,2016,,
2880,Christopher P. James,"American, born 1947",American,M,1947,0,,
2881,Marcel Janco,"Israeli, 1895–1984",Israeli,M,1895,1984,Q366217,500029855
2882,Sidney Janis,"American, 1896–1989",American,M,1896,1989,,
2883,Tony Jannetti,"American, born 1947",American,M,1947,0,,
2884,Alain Jans,French,French,M,0,0,,
2885,Angela Jansen,"American, born 1929",American,F,1929,0,,
2886,Franz Maria Jansen,"German, 1885–1958",German,M,1885,1958,,
2887,Horst Janssen,"German, 1929–1995",German,M,1929,1995,Q454650,500003059
2888,Richard Janthur,"German, 1883–1956",German,M,1883,1956,,
2889,Rudolph Janu,"American, born 1934",American,M,1934,0,,
2890,Théophile Jaquen,French,French,M,0,0,,
2891,Richards Jarden,"American, born 1947",American,M,1947,0,,
2892,Evandro Carlos Jardim,Brazilian,Brazilian,M,0,0,,
2893,Alfred Jarry,"French, 1873–1907",French,M,1873,1907,Q7841,500199881
2894,James Jarvaise,"American, born 1925",American,M,1925,2015,,
2895,Valerie Jaudon,"American, born 1945",American,F,1945,0,,
2896,Alexei Jawlensky,"Russian, 1864–1941",Russian,M,1864,1941,Q156426,500017981
2898,Marcel Jean,"French, 1900–1993",French,M,1900,1993,Q3289050,500022344
2899,Pierre Jeanneret,"Swiss, 1896–1967",Swiss,M,1896,1967,Q115575,500004442
2900,Jeff (Jeff Russell),"American, born 1942",American,M,1942,0,,
2901,Werner Jeker,"Swiss, born 1944",Swiss,M,1944,0,,
2902,Paul Jenkins,"American, 1923–2012",American,M,1923,2012,Q477429,500007772
2903,Thomas Jenkins,"American, 1953–2008",American,M,1953,2008,,
2904,Neil Jenney,"American, born 1945",American,M,1945,0,Q825963,500115643
2906,Alfred Jensen,"American, born Guatemala of Danish parents. 1903–1981",American,M,1903,1981,Q1147721,500031242
2907,Bill Jensen,"American, born 1945",American,M,1945,0,Q17385654,500062279
2909,Jacob Jensen,"Danish, 1926–2015",Danish,M,1926,2015,Q476012,
2911,Floris Jespers,"Belgian, 1889–1965",Belgian,M,1889,1965,Q3074339,500016405
2912,Oscar Jespers,"Belgian, 1887–1970",Belgian,M,1887,1970,Q2246222,500068023
2913,Jess,"American, 1923–2004",American,M,1923,2004,Q4228019,500030886
2914,Luis Jimenez,"American, 1940–2006",American,M,1940,2006,,
2915,Max Jiménez,"Costa Rican, 1908–1949",Costa Rican,M,1908,1949,,
2916,Edith Jimenez,"Paraguayan, 1918–2004",Paraguayan,F,1918,2004,,
2919,Patricia Johanson,"American, born 1940",American,F,1940,0,Q2057205,500022249
2920,Augustus John,"British, 1878–1961",British,M,1878,1961,Q562540,500018892
2921,Gwen John,"British, 1876–1939",British,F,1876,1939,Q274339,500009240
2922,Jiří John,"Czech, 1923–1972",Czech,M,1923,1972,,
2923,Jasper Johns,"American, born 1930",American,M,1930,0,Q155057,500022247
2924,Clifton Johnson,"American, 1865–1940",American,M,1865,1940,,
2925,Daniel LaRue Johnson,"American, 1938–2017",American,M,1938,2017,,
2926,Lester F. Johnson,"American, 1919–2010",American,M,1919,2010,Q6531887,500028168
2927,Philip Johnson,"American, 1906–2005",American,M,1906,2005,Q183528,500014481
2928,Ray Johnson,"American, 1927–1995",American,M,1927,1995,Q178040,500006906
2929,Ynez Johnston,"American, born 1920",American,F,1920,0,,
2930,Joan Jonas,"American, born 1936",American,F,1936,0,Q453808,500058309
2931,Allen Jones,"British, born 1937",British,M,1937,0,Q701564,500019636
2932,E. Powis Jones,"American, born 1919",American,M,1919,0,,
2933,Harold Jones,"American, born 1940",American,M,1940,0,Q1585855,500027805
2934,Joe Jones,"American, 1934–1993",American,M,1934,1993,Q15452777,500194066
2935,John Paul Jones,"American, 1924–1999",American,M,1924,1999,Q6252227,500004971
2936,Pirkle Jones,"American, 1914–2009",American,M,1914,2009,Q2105219,500037107
2937,Robert Edmond Jones,"American, 1887–1954",American,M,1887,1954,Q7343960,500024504
2938,Charles Jongejans,Dutch,Dutch,M,0,0,,
2939,Raymond Jonson,"American, 1891–1982",American,M,1891,1982,,
2940,Sven Jonson,"Swedish, 1902–1981",Swedish,M,1902,1981,,
2941,Paul Joostens,"Belgian, 1889–1960",Belgian,M,1889,1960,,
2942,Raymond Jordan,"American, born 1895",American,M,1895,0,,
2943,Asger Jorn,"Danish, 1914–1973",Danish,M,1914,1973,Q83578,500007669
2944,Ken Josephson,"American, born 1932",American,M,1932,0,Q6390284,500001279
2945,Henri-Gustave Jossot,"French, 1866–1951",French,M,1866,1951,Q3038792,500091116
2946,Bernard Joubert,"French, born 1946",French,M,1946,0,,
2947,Carl Jakob Jucker,"Swiss, 1902–1997",Swiss,M,1902,1997,,
2948,Donald Judd,"American, 1928–1994",American,M,1928,1994,Q250293,500010358
2949,Finn Juhl,"Danish, 1912–1989",Danish,M,1912,1989,Q1058936,500086302
2950,Sven-Eric Juhlin,"Swedish, born 1940",Swedish,M,1940,0,,
2951,Mervin Jules,"American, 1912–1994",American,M,1912,1994,,500002020
2952,Bishin Jumonji,"Japanese, born 1947",Japanese,M,1947,0,Q2904676,500341387
2953,Dora Jung,"Finnish, 1906–1980",Finnish,F,1906,1980,Q11856286,
2954,Theodor Jung,"American, born Austria. 1906–1996",American,M,1906,1996,,
2956,Joan Junyer,"American, born Spain. 1904–1994",American,M,1904,1994,,
2957,Robert Kabak,"American, born 1930",American,M,1930,0,,
2960,Reuben Kadish,"American, 1913–1992",American,M,1913,1992,,
2961,Menashe Kadishman,"Israeli, 1932–2015",Israeli,M,1932,2015,,
2963,Frida Kahlo,"Mexican, 1907–1954",Mexican,F,1907,1954,Q5588,500030701
2964,Louis I. Kahn,"American, born Estonia. 1901–1974",American,M,1901,1974,Q210134,500027669
2965,Max Kahn,"American, born Russia. 1902–2005",American,M,1902,2005,,
2966,Richard Kahn,"American, born 1947",American,M,1947,0,,
2967,Wolf Kahn,"American, 1927–2020",American,M,1927,2020,,
2968,Jacob Kainen,"American, 1909–2001",American,M,1909,2001,,
2969,Leopold von Kalckreuth,"German, 1855–1928",German,M,1855,1928,,
2970,Viaceslav Kalinin,"Russian, born 1939",Russian,M,1939,0,,
2971,Horst-Egon Kalinowski,"German, 1924–2013",German,M,1924,2013,Q1629289,500057594
2972,Simpson Kalisher,"American, born 1926",American,M,1926,0,,
2973,Richard Kalvar,"American, born 1944",American,M,1944,0,Q7326984,
2974,Yusaku Kamekura,"Japanese, 1915–1997",Japanese,M,1915,1997,Q834449,500125898
2975,Takahisa Kamijyo,"Japanese, born 1940",Japanese,M,1940,0,,
2977,Gerome Kamrowski,"American, 1914–2004",American,M,1914,2004,,
2978,Consuelo Kanaga,"American, 1894–1978",American,F,1894,1978,Q3687666,500109790
2979,Kanamori Yoshio,"Japanese, born 1922",Japanese,M,1922,0,,
2980,Eizi Kanbayashi,Japanese,Japanese,M,0,0,,
2981,Vasily Kandinsky,"French, born Russia. 1866–1944",French,M,1866,1944,Q61064,500021093
2982,John Kane,"American, born Scotland. 1860–1934",American,M,1860,1934,Q6242451,500002849
2983,Bob Kane,"American, 1937–2013",American,M,1937,2013,,
2984,Matsumi Kanemitsu,"American, 1922–1992",American,M,1922,1992,,
2985,Sam Kaner,American,American,M,0,0,,
2986,Mitsuo Kano,"Japanese, born 1933",Japanese,M,1933,0,,
2987,Alexander Kanoldt,"German, 1881–1939",German,M,1881,1939,,
2988,Morris Kantor,"American, born Russia. 1896–1974",American,M,1896,1974,Q3344179,500007201
2989,Tim Kantor,"American, born 1932",American,M,1932,0,,
2990,Herbert W. Kapitzki,Nationality unknown,Nationality unknown,M,0,0,,
2991,Anatoli Lvovich Kaplan,"Russian, 1902–1980",Russian,M,1902,1980,Q338350,500013148
2993,Jerome Kaplan,"American, born 1920",American,M,1920,0,,
2994,Peggy Jarrell Kaplan,"American, born 1943",American,F,1943,0,,
2995,Anish Kapoor,"British, born India 1954",British,M,1954,0,Q327293,500005997
2996,Susan Kaprov,"American, born 1946",American,F,1946,0,,
2997,Allan Kaprow,"American, 1927–2006",American,M,1927,2006,Q366380,500031037
2998,Janusz Kapusta,"Polish, born 1951",Polish,M,1951,0,,
2999,Erica Karawina,"German, 1904–2003",German,F,1904,2003,,
3000,Dennis Kardon,"American, born 1950",American,M,1950,0,,
3004,Wolf Karnagel,"German, born 1940",German,M,1940,0,,
3006,Yousuf Karsh,"Canadian, 1908–2002",Canadian,M,1908,2002,Q312859,500013272
3008,Gertrude Käsebier,"American, 1852–1934",American,F,1852,1934,Q271918,500011698
3009,Pentti Kaskipuo,"Finnish, born 1930",Finnish,M,1930,0,,
3010,Lajos Kassák,"Hungarian, 1887–1967",Hungarian,M,1887,1967,Q736847,500017906
3011,Barbara Kasten,"American, born 1936",American,F,1936,0,,
3012,Karl Kasten,"American, 1916–2010",American,M,1916,2010,,
3013,William Katavolos,"American, 1924 – 2020",American,M,1924,2020,,
3015,Koji Kato,Japanese,Japanese,M,0,0,,
3016,Alex Katz,"American, born 1927",American,M,1927,0,Q919265,500022493
3017,Joel Katz,,American,M,1958,0,,
3018,Leo Katz,"American, born Czechoslovakia. 1887–1982",American,M,1887,1982,,
3019,Herbert Katzman,"American, 1923–2004",American,M,1923,2004,,
3020,E. McKnight Kauffer,"American, 1890–1954",American,M,1890,1954,Q319819,500023586
3021,Craig Kauffman,"American, 1932–2010",American,M,1932,2010,Q5181110,500009190
3022,Donald  Kaufman,"American, born 1935",American,M,1935,0,,
3023,Max Kaufman,"American, born Russia",American,M,0,0,,
3025,Willy Kaufmann,"Swiss, born 1932",Swiss,M,1932,0,,
3026,Max Kaus,"German, 1891–1977",German,M,1891,1977,,
3027,Kikuji Kawada,"Japanese, born 1933",Japanese,M,1933,0,Q1741217,500129056
3028,Kawakami Sumio,"Japanese, 1895–1972",Japanese,M,1895,1972,,
3029,Kawanishi Hide,"Japanese, 1894–1965",Japanese,M,0,0,Q11479178,
3030,On Kawara,"Japanese, 1933–2014",Japanese,M,1933,0,Q698256,500120601
3031,Takeshi Kawashima,"Japanese, born 1930",Japanese,M,1930,0,,
3034,Kazuko Miyamoto,"Japanese, born 1942",Japanese,F,1942,0,,
3035,Jerry Kearns,"American, born 1943",American,M,1943,0,,
3037,Pat Keely,British,British,M,0,0,,
3038,Kim Keever,"American, born 1950",American,F,1950,0,,
3041,Ernst Keller,"Swiss, 1891–1968",Swiss,M,1891,1968,,
3042,Henry George Keller,"American, 1869–1949",American,M,1869,1949,Q5724263,500030342
3044,Douglas Kelley,"American, born 1928",American,M,1928,0,,
3045,Mike Kelley,"American, 1954–2012",American,M,1954,2012,Q543294,500118776
3046,Jean Kellogg,"American, 1910–1995",American,F,1910,1995,,
3047,Daniel Kelly,"American, born 1947",American,M,1947,0,,
3048,Ellsworth Kelly,"American, 1923–2015",American,M,1923,2015,Q544899,500004975
3049,James Kelly,"American, born 1913",American,M,1913,0,,
3050,Leon Kelly,"American, 1901–1982",American,M,1901,1982,,
3051,Richard Kelly,"American, 1910–1977",American,M,1910,1977,Q3430924,500272774
3052,Sherman L. Kelly,"American, 1869–1952",American,M,1869,1952,,
3053,Paul Kelpe,"American, 1902–1985",American,M,1902,1985,,
3054,Richard Kemble,"American, 1932–2007",American,M,1932,2007,,
3055,Zoltan Kemeny,"Swiss, born Hungary. 1907–1965",Swiss,M,1907,1965,Q218951,500031473
3056,Roland Kempe,Swedish,Swedish,M,0,0,,
3057,William Sargent Kendall,"American, 1869–1938",American,M,1869,1938,,
3058,Mel Kendrick,"American, born 1949",American,M,1949,0,Q6810748,500105598
3059,Isamu Kenmochi,"Japanese, 1912–1971",Japanese,M,1912,1971,,
3060,Clarence Kennedy,"American, 1892–1972",American,M,1892,1972,,
3061,Gene Kennedy,"American, born 1946",American,M,1946,0,,
3062,Eric Henri Kennington,"British, 1888–1960",British,M,1888,1960,Q5386876,500026057
3065,Rockwell Kent,"American, 1882–1971",American,M,1882,1971,Q114405,500006820
3066,Colleen Frances Kenyon,"American, born 1951",American,F,1951,0,,
3067,György Kepes,"American, born Hungary. 1906–2001",American,M,1906,2001,Q721633,500028012
3068,Juliet Kepes,"American, born England. 1919–1999",American,F,1919,1999,,
3069,G. Ray Kerciu,"American, born 1933",American,M,1933,0,,
3071,Eugène Nestor de Kermadec,"French, 1899–1976",French,M,1899,1976,,
3072,André Kertész,"American, born Hungary. 1894–1985",American,M,1894,1985,Q241754,500019907
3073,Alan Kessler,"American, born 1945",American,M,1945,0,,
3074,Jon Kessler,"American, born 1957",American,M,1957,0,Q6271047,500099368
3075,Robert Glenn Ketchum,"American, born 1947",American,M,1947,0,,
3076,Mar Jean Kettunen,"American, born 1926",American,F,1926,0,,
3078,Bhupen P. Khakhar,"Indian, 1934–2003",Indian,M,1934,2003,,
3079,Krishen Khanna,"Indian, born 1925",Indian,M,1925,0,,
3081,Henry Khudyakov,"Russian, born 1930",Russian,M,1930,0,,
3082,Kiawak Ashoona,"Canadian, born 1933",Canadian,M,1933,0,,
3083,Michael Kidner,"British, born 1917",British,M,1917,0,Q6831868,500028839
3085,Hubert Kiecol,"German, born 1950",German,M,1950,0,Q1633247,500047389
3086,Anselm Kiefer,"German, born 1945",German,M,1945,0,Q170344,500047395
3087,William Kienbusch,"American, 1914–1980",American,M,1914,1980,,
3088,Edward Kienholz,"American, 1927–1994",American,M,1927,1994,Q583959,500028686
3090,Günther Kieser,"German, born 1930",German,M,1930,0,Q1561578,
3091,Frederick Kiesler,"American, born Austria-Hungary. 1890–1965",American,M,1890,1965,Q113775,500031038
3092,Ken Kiff,"British, 1935–2001",British,M,1935,2001,Q6387949,500014643
3093,Mokuma Kikuhata,"Japanese, 1935-2020",Japanese,M,1935,2020,,
3094,Chris Killip,"British, 1946–2020",British,M,1946,2020,Q1077407,500037054
3095,Kenneth Kilstrom,"American, 1922–1995",American,M,1922,1995,,
3096,Tchah-Sup Kim,"Korean, born 1942",Korean,M,1942,0,,
3097,Ihei Kimura,"Japanese, 1901–1974",Japanese,M,1901,1974,Q3106591,500115328
3098,Kosuke Kimura,"Japanese, born 1936",Japanese,M,1936,0,,
3099,Risaburo Kimura,"Japanese, born 1924",Japanese,M,1924,0,,
3100,Shigeru Kimura,Japanese,Japanese,M,0,0,,
3101,David Kindersley,"British, born 1915",British,M,1915,0,,
3102,Bruce Anthony King,"Canadian, 1934–2017",Canadian,M,1934,2017,,
3104,Phillip King,"British, born Tunisia 1934",British,M,1934,0,Q479622,500005402
3106,Dong Kingman,"American, 1911–2000",American,M,1911,2000,Q5295749,500028862
3107,Hazel Kingsbury,"American, 1907–1982",American,F,1907,1982,,
3108,Jonah Kinigstein,"American, born 1923",American,M,1923,0,,
3109,Tomio Kinoshita,"Japanese, 1923–2014",Japanese,M,1923,2014,,
3110,Darius Kinsey,"American, 1869–1945",American,M,1869,1945,Q902064,500022282
3111,Martin Kippenberger,"German, 1953–1997",German,M,1953,1997,Q736247,500069290
3112,Yasuhiro Kira,"Japanese, born 1947",Japanese,M,1947,0,,
3113,Michael Kirby,"American, born 1931",American,M,1931,0,,
3114,Guenther C. Kirchberger,"German, born 1928",German,M,1928,0,,
3115,Ernst Ludwig Kirchner,"German, 1880–1938",German,M,1880,1938,Q229272,500027704
3116,Alain Kirili,"French, born 1946",French,M,1946,0,Q2829958,500087833
3117,Eve Kirk,"British, 1900–1969",British,F,1900,1969,,
3118,Per Kirkeby,"Danish, 1938–2018",Danish,M,1938,2018,Q467462,500047396
3119,Toshiyuki Kita,"Japanese, born 1942",Japanese,M,1942,0,,
3120,Shozo Kitadai,"Japanese, 1921–2001",Japanese,M,1921,2001,Q7506250,500125474
3121,R. B. Kitaj,"American, 1932–2007",American,M,1932,2007,Q569505,500007852
3122,Fumio Kitaoka,"Japanese, 1918–2007",Japanese,M,1918,2007,,
3123,Poul Kjærholm,"Danish, 1929–1980",Danish,M,1929,1980,Q4385311,500068499
3124,Jóhannes Sveinsson Kjarval,"Icelandic, 1885–1972",Icelandic,M,1885,1972,Q1364913,500056079
3125,Charles Klabunde,"American, born 1934",American,M,1934,0,,
3126,Konrad Klapheck,German,German,M,0,0,Q315875,500004444
3128,Gabi Klasmer,"Israeli, born 1950",Israeli,F,1950,0,,
3129,Felix Klee,"German, 1907–1990",German,M,1907,1990,Q1403573,500082742
3130,Paul Klee,"German, born Switzerland. 1879–1940",German,M,1879,1940,Q44007,500010493
3131,Ron Kleemann,"American, 1937–2014",American,M,1937,2014,,
3132,Allen Klein,"American, born 1938",American,M,1938,0,,
3133,Cesar Klein,"German, 1876–1954",German,M,1876,1954,Q213848,500029590
3134,David Klein,"American, 1918–2005",American,M,1918,2005,Q5236064,
3135,Irwin B. Klein,"American, 1933–1974",American,M,1933,1974,,
3136,William Klein,"American, born 1928",American,M,1928,0,Q723892,500022474
3137,Yves Klein,"French, 1928–1962",French,M,1928,1962,Q154335,500005222
3138,Richard Kleinberg,"American, born 1949",American,M,1949,0,,
3139,Lea Kleiner,"Chilean, born Yugoslavia 1929",Chilean,F,1929,0,,
3140,Paul Kleinschmidt,"German, 1883–1949",German,M,1883,1949,Q324258,500013780
3141,Vera Klement,"American, born Poland. 1929",American,F,1929,0,,
3142,Werner Klemke,"German, born 1917",German,M,1917,0,Q464686,500032808
3143,Walther Klemm,"German, 1883–1957",German,M,1883,1957,,
3144,Mark Klett,"American, born 1952",American,M,1952,0,,
3145,Carl Heinz Kliemann,"German, born 1924",German,M,1924,0,Q1036501,500058751
3146,Erika Giovanna Klien,"Austrian, 1900–1957",Austrian,F,1900,1957,Q3731761,500075871
3147,Gustav Klimt,"Austrian, 1862–1918",Austrian,M,1862,1918,Q34661,500030531
3148,Franz Kline,"American, 1910–1962",American,M,1910,1962,Q374492,500007696
3149,Max Klinger,"German, 1857–1920",German,M,1857,1920,Q44252,500023867
3150,Stuart Klipper,"American, born 1941",American,M,1941,0,Q7626729,500105669
3152,Gustav Kluge,"German, born 1947",German,M,1947,0,Q1328382,500033453
3155,Sergei Senkin,"Russian, 1894–1963",Russian,M,1894,1963,,
3156,Berndt Klyvare,Swedish,Swedish,M,0,0,,
3157,Stefan Knapp,"British, born Poland. 1921–1996",British,M,1921,1996,,
3159,Karl Knaths,"American, 1891–1971",American,M,1891,1971,Q17183235,500007983
3160,Werner Knaupp,"German, born 1936",German,M,1936,0,,
3161,Ernest Knee,"American, 1917–1983",American,M,1917,1983,,
3162,Gwen Knight,"American, 1913–2005",American,F,1913,2005,,
3163,Karla Knight,"American, born 1958",American,F,1958,0,,
3165,Donald R. Knorr,"American, born 1922",American,M,1922,0,,
3166,Charles Knowles,"American, 1939–1958",American,M,1939,1958,,
3167,Christopher Knowles,"American, born 1959",American,M,1959,0,Q5112684,500006837
3168,Justin Knowles,British,British,M,0,0,,
3169,Jonathan Knowlton,"American, born 1937",American,M,1937,0,,
3170,Win Knowlton,"American, born 1953",American,M,1953,0,,
3171,Archibald Knox,"British, 1864–1933",British,M,1864,1933,Q2860090,500017889
3172,Jack Knox,"British, born 1936",British,M,1936,0,,
3174,Yasuhide Kobashi,"Japanese, 1931–2003",Japanese,M,1931,2003,,
3175,Kobayashi Riichiro,Japanese,Japanese,M,0,0,,
3176,Robert Kobayashi,"American, 1925-2015",American,M,1925,2015,,
3177,Aleksander Kobzdej,"Polish, 1920–1972",Polish,M,1920,1972,Q827652,500096158
3179,Kenneth Koch,"American, 1925–2002",American,M,1925,2002,,
3180,Benita Koch-Otte,"German, 1892–1976",German,F,1892,1976,Q817333,
3181,Reina Kochashian,Nationality unknown,Nationality unknown,F,0,0,,
3182,Karl Koehler,"American, born 1913",American,M,1913,0,,
3183,Fritz Koenig,"German, born 1924",German,M,1924,0,Q524205,500027892
3184,W. Koenigstein,"Austrian, born 1944",Austrian,M,1944,0,,
3185,Ottokar Koeppen,German,German,M,0,0,,
3186,Karl Koepping,"German, 1848–1914",German,M,1848,1914,Q168340,500119483
3187,Henry Koerner,"American, 1915–1991",American,M,1915,1991,Q5724446,500068525
3188,Jinkichi Koga,Japanese,Japanese,M,0,0,,
3189,Moissey Kogan,"Russian, 1879–1945?",Russian,M,1879,1945,,
3191,Oskar Kogoj,"Yugoslav (now Slovenia), born 1942",Yugoslav,M,1942,0,,
3192,Gabriel Kohn,"American, 1910–1975",American,M,1910,1975,,500076832
3193,Misch Kohn,"American, 1916–2003",American,M,1916,2003,,500049196
3194,Nobuaki Kojima,"Japanese, born 1935",Japanese,M,1935,0,,
3195,Jurriaan Kok,"Dutch, 1861–1919",Dutch,M,1861,1919,,
3197,Oskar Kokoschka,"Austrian, 1886–1980",Austrian,M,1886,1980,Q154260,500024536
3198,Jirí Kolár,"Czech, 1914–2002",Czech,M,1914,2002,Q699793,500029754
3199,Georg Kolbe,"German, 1877–1947",German,M,1877,1947,Q561283,500004921
3200,Stanislav Kolibal,"Czech, born 1925",Czech,M,1925,0,Q7599013,500112145
3201,Käthe Kollwitz,"German, 1867–1945",German,F,1867,1945,Q142472,500016751
3202,Ray Komai,"American, 1918–2010",American,M,1918,2010,,
3203,Komai Tetsuro,"Japanese, 1920–1976",Japanese,M,1920,1976,,
3204,Ilhan Koman,"Turkish, 1921–1986",Turkish,M,1921,1986,,
3205,Vitaly Komar,"American, born Russia 1943",American,M,1943,0,,
3206,Komar and Melamid,American,American,M,0,0,,
3207,Makoto Komatsu,"Japanese, born 1943",Japanese,M,1943,0,,
3208,Vladimir Michailovich Konashevich,Russian,Russian,M,0,0,,
3209,Béla Kondor,"Hungarian, 1931–1972",Hungarian,M,1931,1972,,
3210,Kasper König,"German, born 1940",German,M,1940,0,,
3211,Akira Kono,Japanese,Japanese,M,0,0,,
3212,Elaine de Kooning,"American, 1920–1989",American,F,1920,1989,Q449536,500001599
3213,Willem de Kooning,"American, born the Netherlands. 1904–1997",American,M,1904,1997,Q132305,500000974
3217,Henning Koppel,"Danish, 1918–1981",Danish,M,1918,1981,,
3218,Chaim Koppelman,"American, 1920–2009",American,M,1920,2009,,
3220,Georg Koppmann,"German, 1842–1909",German,M,1842,1909,Q1233952,500040732
3221,Schlomo Koren,"Israeli, born 1932",Israeli,M,1932,0,,
3222,Gajin Kosaka,"Japanese, 1877–1953",Japanese,M,1877,1953,,
3224,Mark Kostabi,"American, born 1960",American,M,1960,0,,
