,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
105558,Nontransparent Monument (Stele 4),Cai Guo-Qiang,2006,Still Images,2007,http://www.moma.org/collection/works/145869,M,Chinese,China,CHN,Global South,Asia & Pacific,MoMA (sampled)
105559,Nontransparent Monument (Stele 6),Cai Guo-Qiang,2006,Still Images,2007,http://www.moma.org/collection/works/145870,M,Chinese,China,CHN,Global South,Asia & Pacific,MoMA (sampled)
105560,Nontransparent Monument (Stele 7),Cai Guo-Qiang,2006,Still Images,2007,http://www.moma.org/collection/works/145871,M,Chinese,China,CHN,Global South,Asia & Pacific,MoMA (sampled)
105564,"Two Times 4'33""",Manon de Boer,2008,Media and Performance,2011,http://www.moma.org/collection/works/146080,F,Dutch,Netherlands,NLD,Global North,Europe,MoMA (sampled)
105565,Incognito,Louise Bourgeois,2007,Still Images,2011,http://www.moma.org/collection/works/146084,F,American,United States,USA,Global North,North America,MoMA (sampled)
105566,The Chain of Events,Louise Bourgeois,2007,Still Images,2011,http://www.moma.org/collection/works/146091,F,American,United States,USA,Global North,North America,MoMA (sampled)
105567,The Prey of an Anxiety,Louise Bourgeois,2007,Still Images,2011,http://www.moma.org/collection/works/146108,F,American,United States,USA,Global North,North America,MoMA (sampled)
105568,The God of Fertility,Louise Bourgeois,2007,Still Images,2011,http://www.moma.org/collection/works/146111,F,American,United States,USA,Global North,North America,MoMA (sampled)
105569,The God of Fertility,Louise Bourgeois,2007,Still Images,2011,http://www.moma.org/collection/works/146112,F,American,United States,USA,Global North,North America,MoMA (sampled)
105570,The God of Fertility,Louise Bourgeois,2007,Still Images,2011,http://www.moma.org/collection/works/146113,F,American,United States,USA,Global North,North America,MoMA (sampled)
105571,Le Père et les 3 Fils,Louise Bourgeois,2005,Still Images,2011,http://www.moma.org/collection/works/146116,F,American,United States,USA,Global North,North America,MoMA (sampled)
105572,Cityscape,Susan Hefuna,2004,Still Images,2011,http://www.moma.org/collection/works/146159,F,German,Germany,DEU,Global North,Europe,MoMA (sampled)
105576,Dissonant,Manon de Boer,2010,Media and Performance,2011,http://www.moma.org/collection/works/146169,F,Dutch,Netherlands,NLD,Global North,Europe,MoMA (sampled)
105591,No End,"Sanja Iveković, Dalibor Martinis",1983,Media and Performance,2011,http://www.moma.org/collection/works/146185,"F, M","Croatian, Croatian",missing,missing,missing,missing,MoMA (sampled)
105592,Practice Makes a Master 09,Sanja Iveković,2009,Media and Performance,2011,http://www.moma.org/collection/works/146186,F,Croatian,Croatia,HRV,Global North,Europe,MoMA (sampled)
105593,General Alert (Godard),Sanja Iveković,1995,Media and Performance,2011,http://www.moma.org/collection/works/146188,F,Croatian,Croatia,HRV,Global North,Europe,MoMA (sampled)
105594,General Alert (Soap),Sanja Iveković,1995,Media and Performance,2011,http://www.moma.org/collection/works/146189,F,Croatian,Croatia,HRV,Global North,Europe,MoMA (sampled)
105602,"Untitled, From Leonardo",Jean-Michel Basquiat,1983,Still Images,2011,http://www.moma.org/collection/works/146280,M,American,United States,USA,Global North,North America,MoMA (sampled)
105603,"Untitled, From Leonardo",Jean-Michel Basquiat,1983,Still Images,2011,http://www.moma.org/collection/works/146281,M,American,United States,USA,Global North,North America,MoMA (sampled)
105604,"Untitled, From Leonardo",Jean-Michel Basquiat,1983,Still Images,2011,http://www.moma.org/collection/works/146282,M,American,United States,USA,Global North,North America,MoMA (sampled)
105605,"Untitled, From Leonardo",Jean-Michel Basquiat,1983,Still Images,2011,http://www.moma.org/collection/works/146283,M,American,United States,USA,Global North,North America,MoMA (sampled)
105606,"Untitled, From Leonardo",Jean-Michel Basquiat,1983,Still Images,2011,http://www.moma.org/collection/works/146284,M,American,United States,USA,Global North,North America,MoMA (sampled)
105649,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146434,M,American,United States,USA,Global North,North America,MoMA (sampled)
105650,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146435,M,American,United States,USA,Global North,North America,MoMA (sampled)
105651,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146436,M,American,United States,USA,Global North,North America,MoMA (sampled)
105652,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146437,M,American,United States,USA,Global North,North America,MoMA (sampled)
105653,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146438,M,American,United States,USA,Global North,North America,MoMA (sampled)
105654,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146439,M,American,United States,USA,Global North,North America,MoMA (sampled)
105655,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146440,M,American,United States,USA,Global North,North America,MoMA (sampled)
105656,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146441,M,American,United States,USA,Global North,North America,MoMA (sampled)
105657,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146442,M,American,United States,USA,Global North,North America,MoMA (sampled)
105658,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146443,M,American,United States,USA,Global North,North America,MoMA (sampled)
105659,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146444,M,American,United States,USA,Global North,North America,MoMA (sampled)
105660,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146445,M,American,United States,USA,Global North,North America,MoMA (sampled)
105661,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146446,M,American,United States,USA,Global North,North America,MoMA (sampled)
105662,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146447,M,American,United States,USA,Global North,North America,MoMA (sampled)
105663,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146448,M,American,United States,USA,Global North,North America,MoMA (sampled)
105664,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146449,M,American,United States,USA,Global North,North America,MoMA (sampled)
105665,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146450,M,American,United States,USA,Global North,North America,MoMA (sampled)
105666,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146451,M,American,United States,USA,Global North,North America,MoMA (sampled)
105667,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146452,M,American,United States,USA,Global North,North America,MoMA (sampled)
105668,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146453,M,American,United States,USA,Global North,North America,MoMA (sampled)
105669,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146454,M,American,United States,USA,Global North,North America,MoMA (sampled)
105670,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146455,M,American,United States,USA,Global North,North America,MoMA (sampled)
105671,"Untitled from If Only God Had Invented Coca Cola, Sooner! Or, The Death of My Pet Monkey",Daniel Joseph Martinez,2004,Still Images,2011,http://www.moma.org/collection/works/146456,M,American,United States,USA,Global North,North America,MoMA (sampled)
105677,Threesome I,Marc Bauer,2009,Still Images,2011,,missing,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
105678,D.T.A.B.T.W.H.A.H.E.,Philippe Decrauzat,2010,Still Images,2011,http://www.moma.org/collection/works/146473,missing,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
105679,Untitled,Matt Mullican,2010,Still Images,2011,http://www.moma.org/collection/works/146474,M,American,United States,USA,Global North,North America,MoMA (sampled)
105699,Untitled,Kara Walker,1995,Still Images,2011,http://www.moma.org/collection/works/146530,F,American,United States,USA,Global North,North America,MoMA (sampled)
105702,Untitled (woman and daughter with makeup),Carrie Mae Weems,1990,Still Images,2011,,F,American,United States,USA,Global North,North America,MoMA (sampled)
105704,Double Trouble (Study),Jonas Wood,2007,Still Images,2011,http://www.moma.org/collection/works/146607,M,American,United States,USA,Global North,North America,MoMA (sampled)
105705,Robin with Phoebe,Jonas Wood,2008,Still Images,2011,http://www.moma.org/collection/works/146609,M,American,United States,USA,Global North,North America,MoMA (sampled)
105706,Body Electric (The Tramp),Matthew Monahan,2010,Still Images,2011,http://www.moma.org/collection/works/146610,M,American,United States,USA,Global North,North America,MoMA (sampled)
105712,House,Rachel Whiteread,1992,Still Images,2011,http://www.moma.org/collection/works/146656,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
105713,Untitled (Table),Rachel Whiteread,1996,Still Images,2011,http://www.moma.org/collection/works/146658,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
105714,24 Switches both on and off,Rachel Whiteread,1998,Still Images,2011,http://www.moma.org/collection/works/146659,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
105715,The Territorial Hound,Mike Kelley,1984,Still Images,2011,http://www.moma.org/collection/works/146671,M,American,United States,USA,Global North,North America,MoMA (sampled)
105731,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146687,M,American,United States,USA,Global North,North America,MoMA (sampled)
105732,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146688,M,American,United States,USA,Global North,North America,MoMA (sampled)
105733,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146689,M,American,United States,USA,Global North,North America,MoMA (sampled)
105734,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146690,M,American,United States,USA,Global North,North America,MoMA (sampled)
105735,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146691,M,American,United States,USA,Global North,North America,MoMA (sampled)
105736,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146692,M,American,United States,USA,Global North,North America,MoMA (sampled)
105737,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146693,M,American,United States,USA,Global North,North America,MoMA (sampled)
105738,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146694,M,American,United States,USA,Global North,North America,MoMA (sampled)
105739,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146695,M,American,United States,USA,Global North,North America,MoMA (sampled)
105740,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,,M,American,United States,USA,Global North,North America,MoMA (sampled)
105741,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146697,M,American,United States,USA,Global North,North America,MoMA (sampled)
105742,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146698,M,American,United States,USA,Global North,North America,MoMA (sampled)
105743,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146699,M,American,United States,USA,Global North,North America,MoMA (sampled)
105744,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146700,M,American,United States,USA,Global North,North America,MoMA (sampled)
105745,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146701,M,American,United States,USA,Global North,North America,MoMA (sampled)
105746,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146702,M,American,United States,USA,Global North,North America,MoMA (sampled)
105747,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,,M,American,United States,USA,Global North,North America,MoMA (sampled)
105748,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146704,M,American,United States,USA,Global North,North America,MoMA (sampled)
105749,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146705,M,American,United States,USA,Global North,North America,MoMA (sampled)
105750,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146706,M,American,United States,USA,Global North,North America,MoMA (sampled)
105751,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,,M,American,United States,USA,Global North,North America,MoMA (sampled)
105752,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146708,M,American,United States,USA,Global North,North America,MoMA (sampled)
105753,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146709,M,American,United States,USA,Global North,North America,MoMA (sampled)
105754,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146710,M,American,United States,USA,Global North,North America,MoMA (sampled)
105755,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146711,M,American,United States,USA,Global North,North America,MoMA (sampled)
105756,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,,M,American,United States,USA,Global North,North America,MoMA (sampled)
105757,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146713,M,American,United States,USA,Global North,North America,MoMA (sampled)
105758,Untitled from 88 Maps,Matt Mullican,2010,Still Images,2010,http://www.moma.org/collection/works/146714,M,American,United States,USA,Global North,North America,MoMA (sampled)
105766,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146727,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105767,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146728,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105768,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146729,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105769,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146730,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105770,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146731,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105771,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146732,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105772,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146733,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105773,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146734,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105774,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146735,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105775,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146736,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105776,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146737,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105777,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146738,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105778,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146739,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105779,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146740,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105780,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146741,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105781,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146742,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105782,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146743,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105783,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146744,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105784,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146745,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105785,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146746,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105786,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146747,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105787,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146748,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105788,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146749,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105789,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146750,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105790,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146751,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105791,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146752,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105792,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146753,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105793,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146754,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105794,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146755,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105795,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146756,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105796,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146757,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105797,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146758,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105798,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146759,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105799,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146760,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105800,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146761,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105801,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146762,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105802,Untitled from Spirit Cooking,Marina Abramović,1996,Still Images,2011,http://www.moma.org/collection/works/146763,F,Yugoslav,Yugoslavia,missing,missing,missing,MoMA (sampled)
105803,Camion,Armando Andrade Tudela,2003,Media and Performance,2011,http://www.moma.org/collection/works/146764,M,Peruvian,Peru,PER,Global South,South/Latin America,MoMA (sampled)
105804,H.M.,Kerry Tribe,2009,Media and Performance,2011,http://www.moma.org/collection/works/146765,F,American,United States,USA,Global North,North America,MoMA (sampled)
105805,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146766,M,American,United States,USA,Global North,North America,MoMA (sampled)
105806,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146767,M,American,United States,USA,Global North,North America,MoMA (sampled)
105807,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146768,M,American,United States,USA,Global North,North America,MoMA (sampled)
105808,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146769,M,American,United States,USA,Global North,North America,MoMA (sampled)
105809,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146770,M,American,United States,USA,Global North,North America,MoMA (sampled)
105810,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146771,M,American,United States,USA,Global North,North America,MoMA (sampled)
105811,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146772,M,American,United States,USA,Global North,North America,MoMA (sampled)
105812,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146773,M,American,United States,USA,Global North,North America,MoMA (sampled)
105813,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146774,M,American,United States,USA,Global North,North America,MoMA (sampled)
105814,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146775,M,American,United States,USA,Global North,North America,MoMA (sampled)
105815,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146776,M,American,United States,USA,Global North,North America,MoMA (sampled)
105816,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146777,M,American,United States,USA,Global North,North America,MoMA (sampled)
105817,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146778,M,American,United States,USA,Global North,North America,MoMA (sampled)
105818,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146779,M,American,United States,USA,Global North,North America,MoMA (sampled)
105819,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146780,M,American,United States,USA,Global North,North America,MoMA (sampled)
105820,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146781,M,American,United States,USA,Global North,North America,MoMA (sampled)
105821,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146782,M,American,United States,USA,Global North,North America,MoMA (sampled)
105822,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146783,M,American,United States,USA,Global North,North America,MoMA (sampled)
105823,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146784,M,American,United States,USA,Global North,North America,MoMA (sampled)
105824,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146785,M,American,United States,USA,Global North,North America,MoMA (sampled)
105825,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146786,M,American,United States,USA,Global North,North America,MoMA (sampled)
105826,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146787,M,American,United States,USA,Global North,North America,MoMA (sampled)
105827,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146788,M,American,United States,USA,Global North,North America,MoMA (sampled)
105828,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146789,M,American,United States,USA,Global North,North America,MoMA (sampled)
105829,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146790,M,American,United States,USA,Global North,North America,MoMA (sampled)
105830,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146791,M,American,United States,USA,Global North,North America,MoMA (sampled)
105831,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146792,M,American,United States,USA,Global North,North America,MoMA (sampled)
105832,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146793,M,American,United States,USA,Global North,North America,MoMA (sampled)
105833,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146794,M,American,United States,USA,Global North,North America,MoMA (sampled)
105834,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146795,M,American,United States,USA,Global North,North America,MoMA (sampled)
105835,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146796,M,American,United States,USA,Global North,North America,MoMA (sampled)
105836,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146797,M,American,United States,USA,Global North,North America,MoMA (sampled)
105837,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146798,M,American,United States,USA,Global North,North America,MoMA (sampled)
105838,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146799,M,American,United States,USA,Global North,North America,MoMA (sampled)
105839,Untitled from Coyote Stories,Chris Burden,2005,Still Images,2011,http://www.moma.org/collection/works/146800,M,American,United States,USA,Global North,North America,MoMA (sampled)
105840,"Title page from Oh God, he said, talking to a tree",Walid Raad,2004,Still Images,2008,http://www.moma.org/collection/works/146813,M,Lebanese,Lebanon,LBN,Global South,Middle east,MoMA (sampled)
105841,"Untitled from Oh God, he said, talking to a tree",Walid Raad,2004,Still Images,2008,http://www.moma.org/collection/works/146814,M,Lebanese,Lebanon,LBN,Global South,Middle east,MoMA (sampled)
