,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
85636,Untitled,Fred Sandback,1993,Still Images,2005,http://www.moma.org/collection/works/97273,M,American,United States,USA,Global North,North America,MoMA (sampled)
85637,Untitled,Fred Sandback,2001,Still Images,2005,http://www.moma.org/collection/works/97274,M,American,United States,USA,Global North,North America,MoMA (sampled)
85639,Untitled,Wilhelm Sasnal,2003,Still Images,2005,http://www.moma.org/collection/works/97276,M,Polish,Poland,POL,Global North,Europe,MoMA (sampled)
85640,Untitled,Wilhelm Sasnal,2003,Still Images,2005,http://www.moma.org/collection/works/97277,M,Polish,Poland,POL,Global North,Europe,MoMA (sampled)
85641,Untitled,Wilhelm Sasnal,2003,Still Images,2005,http://www.moma.org/collection/works/97278,M,Polish,Poland,POL,Global North,Europe,MoMA (sampled)
85642,Untitled,Wilhelm Sasnal,2003,Still Images,2005,http://www.moma.org/collection/works/97279,M,Polish,Poland,POL,Global North,Europe,MoMA (sampled)
85643,Untitled,Wilhelm Sasnal,2003,Still Images,2005,http://www.moma.org/collection/works/97280,M,Polish,Poland,POL,Global North,Europe,MoMA (sampled)
85644,Markus's Story,Yehudit Sasportas,2003,Still Images,2005,http://www.moma.org/collection/works/97281,F,Israeli,Israel,ISR,Global North,Middle east,MoMA (sampled)
85645,Untitled (Fire Eater),Shinako Sato,2003,Still Images,2005,http://www.moma.org/collection/works/97282,F,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85646,Untitled (My Valentine),Shinako Sato,2004,Still Images,2005,http://www.moma.org/collection/works/97283,F,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85647,Untitled,Peter Saul,1989,Still Images,2005,http://www.moma.org/collection/works/97284,M,American,United States,USA,Global North,North America,MoMA (sampled)
85648,Cold Woman,Peter Saul,2002,Still Images,2005,http://www.moma.org/collection/works/97285,M,American,United States,USA,Global North,North America,MoMA (sampled)
85649,Untitled (you make me feel lousey),Peter Saul,2003,Still Images,2005,http://www.moma.org/collection/works/97286,M,American,United States,USA,Global North,North America,MoMA (sampled)
85650,Untitled (Dick and Dalí),Peter Saul,2003,Still Images,2005,http://www.moma.org/collection/works/97287,M,American,United States,USA,Global North,North America,MoMA (sampled)
85651,Chandelier #1,Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97288,M,American,United States,USA,Global North,North America,MoMA (sampled)
85652,Chandelier #3,Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97289,M,American,United States,USA,Global North,North America,MoMA (sampled)
85653,Maria Bard,Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97290,M,American,United States,USA,Global North,North America,MoMA (sampled)
85654,Prince & Princess Adalbert of Prussia,Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97291,M,American,United States,USA,Global North,North America,MoMA (sampled)
