Title;Artist;dateCreated;Department;dateAcquired;URL;Gender;Nationality;Nation;country_code;Divide;Region;Source
Team a;Anthony Goicolea;2003;Still Images;2005;http://www.moma.org/collection/works/96009;M;American;United States;USA;Global North;North America;MoMA (sampled)
SB;Greg Goldberg;2001;Still Images;2005;http://www.moma.org/collection/works/96010;M;American;United States;USA;Global North;North America;MoMA (sampled)
RL;Greg Goldberg;2001;Still Images;2005;http://www.moma.org/collection/works/96011;M;American;United States;USA;Global North;North America;MoMA (sampled)
MC;Greg Goldberg;2001;Still Images;2005;http://www.moma.org/collection/works/96012;M;American;United States;USA;Global North;North America;MoMA (sampled)
MN;Greg Goldberg;2001;Still Images;2005;http://www.moma.org/collection/works/96013;M;American;United States;USA;Global North;North America;MoMA (sampled)
DH;Greg Goldberg;2001;Still Images;2005;http://www.moma.org/collection/works/96014;M;American;United States;USA;Global North;North America;MoMA (sampled)
JJ;Greg Goldberg;2001;Still Images;2005;http://www.moma.org/collection/works/96015;M;American;United States;USA;Global North;North America;MoMA (sampled)
Sunset;Greg Goldberg;2001;Still Images;2005;http://www.moma.org/collection/works/96016;M;American;United States;USA;Global North;North America;MoMA (sampled)
TB;Greg Goldberg;2001;Still Images;2005;http://www.moma.org/collection/works/96017;M;American;United States;USA;Global North;North America;MoMA (sampled)
Drawing #143 (3,000 Black on White 10 and direct 10 Gauge 1.5-2-3-6 mm);Teo González;2002;Still Images;2005;http://www.moma.org/collection/works/96018;M;Spanish;Spain;ESP;Global North;Europe;MoMA (sampled)
Drawing #158 (1,625 Red on Turquoise 1/2/1.5/3 x 10 Gauges 6-3-4-2 mm);Teo González;2003;Still Images;2005;http://www.moma.org/collection/works/96019;M;Spanish;Spain;ESP;Global North;Europe;MoMA (sampled)
"""Untitled"" (t-cell count)";Felix Gonzalez-Torres;1990;Still Images;2005;http://www.moma.org/collection/works/96028;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Delia R. Gonzalez;2003;Still Images;2005;http://www.moma.org/collection/works/96031;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Delia R. Gonzalez;2003;Still Images;2005;http://www.moma.org/collection/works/96032;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Delia R. Gonzalez;2004;Still Images;2005;http://www.moma.org/collection/works/96033;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Delia R. Gonzalez;2004;Still Images;2005;http://www.moma.org/collection/works/96034;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Delia R. Gonzalez;2004;Still Images;2005;http://www.moma.org/collection/works/96035;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Delia R. Gonzalez;2004;Still Images;2005;http://www.moma.org/collection/works/96036;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Delia R. Gonzalez;2004;Still Images;2005;http://www.moma.org/collection/works/96037;F;American;United States;USA;Global North;North America;MoMA (sampled)
Suspended Animation - 29 Drawings of the Same Photograph;Dryden Goodwin;2000;Still Images;2005;http://www.moma.org/collection/works/96038;M;Canadian;Canada;CAN;Global North;North America;MoMA (sampled)
Blind Star: Mirror Blind Vivien;Douglas Gordon;2002;Still Images;2005;http://www.moma.org/collection/works/96039;M;Scottish;Scotland;GBR;Global North;Europe;MoMA (sampled)
Untitled;Douglas Gordon;2004;Still Images;2005;http://www.moma.org/collection/works/96040;M;Scottish;Scotland;GBR;Global North;Europe;MoMA (sampled)
Untitled;Douglas Gordon;2004;Still Images;2005;http://www.moma.org/collection/works/96041;M;Scottish;Scotland;GBR;Global North;Europe;MoMA (sampled)
Untitled;Douglas Gordon;2004;Still Images;2005;http://www.moma.org/collection/works/96042;M;Scottish;Scotland;GBR;Global North;Europe;MoMA (sampled)
Untitled;Douglas Gordon;2004;Still Images;2005;http://www.moma.org/collection/works/96043;M;Scottish;Scotland;GBR;Global North;Europe;MoMA (sampled)
Memoirs, 1988-1990;Douglas Gordon;1984;Still Images;2005;http://www.moma.org/collection/works/96044;M;Scottish;Scotland;GBR;Global North;Europe;MoMA (sampled)
Moonriver;Sam Gordon;2002;Still Images;2005;http://www.moma.org/collection/works/96045;M;American;United States;USA;Global North;North America;MoMA (sampled)
Burl Country Orgasm;Matt Greene;2003;Still Images;2005;http://www.moma.org/collection/works/96057;M;American;United States;USA;Global North;North America;MoMA (sampled)
Undead Bill of Rights;Matt Greene;2003;Still Images;2005;http://www.moma.org/collection/works/96059;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled 07;Matt Greene;2003;Still Images;2005;http://www.moma.org/collection/works/96060;M;American;United States;USA;Global North;North America;MoMA (sampled)
Study for Reading;Alex Grey;2001;Still Images;2005;http://www.moma.org/collection/works/96061;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Kojo Griffin;2004;Still Images;2005;http://www.moma.org/collection/works/96062;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Blue and Cream);Mark Grotjahn;2000;Still Images;2005;http://www.moma.org/collection/works/96064;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (2 Greens Cream Black Butterfly 74);Mark Grotjahn;2002;Still Images;2005;http://www.moma.org/collection/works/96065;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Blue and Yellowish Cream Butterfly 76);Mark Grotjahn;2002;Still Images;2005;http://www.moma.org/collection/works/96066;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Cream with Black Butterfly);Mark Grotjahn;2002;Still Images;2005;http://www.moma.org/collection/works/96068;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Red Butterfly 112);Mark Grotjahn;2002;Still Images;2005;http://www.moma.org/collection/works/96069;M;American;United States;USA;Global North;North America;MoMA (sampled)
Big Seed Drawing;Mark Grotjahn;2003;Still Images;2005;http://www.moma.org/collection/works/96070;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Black and Cream Butterfly 501);Mark Grotjahn;2004;Still Images;2005;http://www.moma.org/collection/works/96071;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Black and Cream Butterfly 502);Mark Grotjahn;2004;Still Images;2005;http://www.moma.org/collection/works/96072;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Colored Butterfly White Background Three Wings A#2 504);Mark Grotjahn;2004;Still Images;2005;http://www.moma.org/collection/works/96073;M;American;United States;USA;Global North;North America;MoMA (sampled)
Floating Hitler Head;Karl Haendel;2002;Still Images;2005;http://www.moma.org/collection/works/96079;M;American;United States;USA;Global North;North America;MoMA (sampled)
Inverted, Floating Monkey Head;Karl Haendel;2003;Still Images;2005;http://www.moma.org/collection/works/96080;M;American;United States;USA;Global North;North America;MoMA (sampled)
Matthew Barney;Karl Haendel;2003;Still Images;2005;http://www.moma.org/collection/works/96081;M;American;United States;USA;Global North;North America;MoMA (sampled)
Scribble #3;Karl Haendel;2003;Still Images;2005;http://www.moma.org/collection/works/96082;M;American;United States;USA;Global North;North America;MoMA (sampled)
The Scream;Karl Haendel;2003;Still Images;2005;http://www.moma.org/collection/works/96083;M;American;United States;USA;Global North;North America;MoMA (sampled)
Thumbprint #3;Karl Haendel;2003;Still Images;2005;http://www.moma.org/collection/works/96084;M;American;United States;USA;Global North;North America;MoMA (sampled)
Winnie Mandela Trial;Karl Haendel;2003;Still Images;2005;http://www.moma.org/collection/works/96085;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Peter Halley;2003;Still Images;2005;http://www.moma.org/collection/works/96087;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Peter Halley;2003;Still Images;2005;http://www.moma.org/collection/works/96088;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Chris Hammerlein;2003;Still Images;2005;http://www.moma.org/collection/works/96090;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Chris Hammerlein;2003;Still Images;2005;http://www.moma.org/collection/works/96091;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Chris Hammerlein;2000;Still Images;2005;http://www.moma.org/collection/works/96092;M;American;United States;USA;Global North;North America;MoMA (sampled)
Misplaced my face and dropped my eyes and feeling somewhat empty;Debra Hampton;2004;Still Images;2005;http://www.moma.org/collection/works/96095;F;American;United States;USA;Global North;North America;MoMA (sampled)
Preparing for the revolution;Debra Hampton;2004;Still Images;2005;http://www.moma.org/collection/works/96096;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled #40;Debra Hampton;2004;Still Images;2005;http://www.moma.org/collection/works/96097;F;American;United States;USA;Global North;North America;MoMA (sampled)
Hockey Fights/Fruit Bowls;Chris Hanson, Hendrika Sonnenberg;2003;Still Images;2005;http://www.moma.org/collection/works/96098;M, F;Canadian, Canadian;Canada;CAN;Global North;North America;MoMA (sampled)
ATM Drawing;Chris Hanson, Hendrika Sonnenberg;2004;Still Images;2005;http://www.moma.org/collection/works/96099;M, F;Canadian, Canadian;Canada;CAN;Global North;North America;MoMA (sampled)
Issues;Chris Hanson, Hendrika Sonnenberg;2004;Still Images;2005;http://www.moma.org/collection/works/96100;M, F;Canadian, Canadian;Canada;CAN;Global North;North America;MoMA (sampled)
Untitled;Chris Hanson, Hendrika Sonnenberg;2003;Still Images;2005;http://www.moma.org/collection/works/96101;M, F;Canadian, Canadian;Canada;CAN;Global North;North America;MoMA (sampled)
Saratoga Signorelli Hercules;Rachel Harrison;1999;Still Images;2005;http://www.moma.org/collection/works/96102;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Rachel Harrison;1999;Still Images;2005;http://www.moma.org/collection/works/96103;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Fire Hydrant);Rachel Harrison;2001;Still Images;2005;http://www.moma.org/collection/works/96104;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Oldsmobile);Rachel Harrison;2003;Still Images;2005;http://www.moma.org/collection/works/96105;F;American;United States;USA;Global North;North America;MoMA (sampled)
Routes II;Mona Hatoum;2002;Still Images;2005;http://www.moma.org/collection/works/96106;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Hair Drawing;Mona Hatoum;2003;Still Images;2005;http://www.moma.org/collection/works/96107;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Hair Drawing;Mona Hatoum;2003;Still Images;2005;http://www.moma.org/collection/works/96108;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Hair Drawing;Mona Hatoum;2003;Still Images;2005;http://www.moma.org/collection/works/96109;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Four Portraits;Eberhard Havekost;1996;Still Images;2005;http://www.moma.org/collection/works/96110;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Marcus, Spider;Richard Hawkins;1995;Still Images;2005;http://www.moma.org/collection/works/96114;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (11);Richard Hawkins;1995;Still Images;2005;http://www.moma.org/collection/works/96115;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (12);Richard Hawkins;1995;Still Images;2005;http://www.moma.org/collection/works/96116;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (14);Richard Hawkins;1995;Still Images;2005;http://www.moma.org/collection/works/96117;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (08);Richard Hawkins;1995;Still Images;2005;http://www.moma.org/collection/works/96118;M;American;United States;USA;Global North;North America;MoMA (sampled)
Soundtrack;Richard Hawkins;1996;Still Images;2005;http://www.moma.org/collection/works/96119;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Werner Haypeter;2000;Still Images;2005;http://www.moma.org/collection/works/96121;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Lemon Poppyseed Muffins;Karen Heagle;2000;Still Images;2005;http://www.moma.org/collection/works/96122;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Self-Portrait as Guard);Karen Heagle;2003;Still Images;2005;http://www.moma.org/collection/works/96123;F;American;United States;USA;Global North;North America;MoMA (sampled)
a: Er glaubt Es erst Wenn Er Es sieht, b: Sie sagt: Heil Satan du Wichser, c: He Thinks: Money Is the Root of All Evil;Lothar Hempel;2003;Still Images;2005;http://www.moma.org/collection/works/96126;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Untitled (Washington vs. Lincoln);Jonathan Herder;1994;Still Images;2005;http://www.moma.org/collection/works/96127;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (This Is Serious);Jonathan Herder;1996;Still Images;2005;http://www.moma.org/collection/works/96128;M;American;United States;USA;Global North;North America;MoMA (sampled)
Stampographic Panorama;Jonathan Herder;2003;Still Images;2005;http://www.moma.org/collection/works/96129;M;American;United States;USA;Global North;North America;MoMA (sampled)
09.12.1940, Zerstörung Birminghams I;Jörg Herold;2003;Still Images;2005;http://www.moma.org/collection/works/96130;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Krupp;Jörg Herold;2003;Still Images;2005;http://www.moma.org/collection/works/96131;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Muster;Jörg Herold;2003;Still Images;2005;http://www.moma.org/collection/works/96132;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Sommer 43;Jörg Herold;2003;Still Images;2005;http://www.moma.org/collection/works/96133;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Kreuztreffer;Jörg Herold;2003;Still Images;2005;http://www.moma.org/collection/works/96134;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
Untitled;Arturo Herrera;2003;Still Images;2005;http://www.moma.org/collection/works/96135;M;Venezuelan;Venezuela;VEN;Global South;South/Latin America;MoMA (sampled)
The Volksboutique Style Manual;Christine Hill;2003;Still Images;2005;http://www.moma.org/collection/works/96138;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Intelligence and Sacrifice);Roger Hiorns;2003;Still Images;2005;http://www.moma.org/collection/works/96139;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Serie KS-19;Thomas Hirschhorn;2002;Still Images;2005;http://www.moma.org/collection/works/96140;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Serie KS-20;Thomas Hirschhorn;2002;Still Images;2005;http://www.moma.org/collection/works/96141;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Serie KS-37;Thomas Hirschhorn;2002;Still Images;2005;http://www.moma.org/collection/works/96142;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Serie KS-41;Thomas Hirschhorn;2002;Still Images;2005;http://www.moma.org/collection/works/96143;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Provide Ruins I;Thomas Hirschhorn;2003;Still Images;2005;http://www.moma.org/collection/works/96144;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Provide Ruins II;Thomas Hirschhorn;2003;Still Images;2005;http://www.moma.org/collection/works/96145;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Provide Ruins III;Thomas Hirschhorn;2003;Still Images;2005;http://www.moma.org/collection/works/96146;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Provide Ruins IV;Thomas Hirschhorn;2003;Still Images;2005;http://www.moma.org/collection/works/96147;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Provide Ruins V;Thomas Hirschhorn;2003;Still Images;2005;http://www.moma.org/collection/works/96148;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Provide Ruins VI;Thomas Hirschhorn;2003;Still Images;2005;http://www.moma.org/collection/works/96149;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Provide Ruins VII;Thomas Hirschhorn;2003;Still Images;2005;http://www.moma.org/collection/works/96150;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Provide Ruins VIII;Thomas Hirschhorn;2003;Still Images;2005;http://www.moma.org/collection/works/96151;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Printer;John Hodany;2001;Still Images;2005;http://www.moma.org/collection/works/96154;M;American;United States;USA;Global North;North America;MoMA (sampled)
Sleep 9 to 5, Work 9 to 5;John Hodany;2003;Still Images;2005;http://www.moma.org/collection/works/96155;M;American;United States;USA;Global North;North America;MoMA (sampled)
Happy III;Jim Hodges;2001;Still Images;2005;http://www.moma.org/collection/works/96156;M;American;United States;USA;Global North;North America;MoMA (sampled)
Boer Guerrillas;Julian Hoeber;2003;Still Images;2005;http://www.moma.org/collection/works/96157;M;American;United States;USA;Global North;North America;MoMA (sampled)
Philadelphia Police M.O.V.E. Incident, 1978;Julian Hoeber;2003;Still Images;2005;http://www.moma.org/collection/works/96158;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Julian Hoeber;2002;Still Images;2005;http://www.moma.org/collection/works/96159;M;American;United States;USA;Global North;North America;MoMA (sampled)
Busher;Christian Holstad;1997;Still Images;2005;http://www.moma.org/collection/works/96160;M;American;United States;USA;Global North;North America;MoMA (sampled)
Beginning to See the Light Despite the Darkness;Christian Holstad;2000;Still Images;2005;http://www.moma.org/collection/works/96161;M;American;United States;USA;Global North;North America;MoMA (sampled)
Double Knit Landscape;Christian Holstad;2000;Still Images;2005;http://www.moma.org/collection/works/96162;M;American;United States;USA;Global North;North America;MoMA (sampled)
(Fuckers Arise Slow and Steady in the Morning) Build Strength Like Infinity;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96163;M;American;United States;USA;Global North;North America;MoMA (sampled)
America Meets in a Parking Lot for a Date with Itself;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96164;M;American;United States;USA;Global North;North America;MoMA (sampled)
Berry I;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96165;M;American;United States;USA;Global North;North America;MoMA (sampled)
Blue Boys Don't Need Drugs with Voulkos;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96166;M;American;United States;USA;Global North;North America;MoMA (sampled)
Combinations;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96167;M;American;United States;USA;Global North;North America;MoMA (sampled)
Deep Breath in White Bathroom with Orange Lighting and Red Falling Jean Pants;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96168;M;American;United States;USA;Global North;North America;MoMA (sampled)
Disconnect;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96169;M;American;United States;USA;Global North;North America;MoMA (sampled)
Flame Retardant;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96170;M;American;United States;USA;Global North;North America;MoMA (sampled)
Forms of Speech Therapy;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96171;M;American;United States;USA;Global North;North America;MoMA (sampled)
Fuchsia Stream, Blackberries and Tilted Vase (Breakfast Nook Series);Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96172;M;American;United States;USA;Global North;North America;MoMA (sampled)
Gavin's Blue Bathroom with Turquoise Men;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96173;M;American;United States;USA;Global North;North America;MoMA (sampled)
Genius Loci Reaching Gentle Heights (Spitz Licking Lips and Center of Moustache);Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96174;M;American;United States;USA;Global North;North America;MoMA (sampled)
Genius Loci Reaching Gentle Heights (Greg in the Hallway with Pillars of Faith);Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96175;M;American;United States;USA;Global North;North America;MoMA (sampled)
Genius Loci Reaching Gentle Heights (Lewis in a Less-Green Room);Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96176;M;American;United States;USA;Global North;North America;MoMA (sampled)
Half Tones;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96177;M;American;United States;USA;Global North;North America;MoMA (sampled)
In the Shadow of Your Smile;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96178;M;American;United States;USA;Global North;North America;MoMA (sampled)
Inside Looking Out;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96179;M;American;United States;USA;Global North;North America;MoMA (sampled)
Kissing Couple in Jean Pants and Green Bathroom;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96180;M;American;United States;USA;Global North;North America;MoMA (sampled)
Meet the Press;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96181;M;American;United States;USA;Global North;North America;MoMA (sampled)
Metronome;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96182;M;American;United States;USA;Global North;North America;MoMA (sampled)
Michael R. Bloomberg Looked Back on His First Year as Mayor Yesterday and Declared It a Success;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96183;M;American;United States;USA;Global North;North America;MoMA (sampled)
Mt. Rushmore;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96184;M;American;United States;USA;Global North;North America;MoMA (sampled)
On Track!!;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96185;M;American;United States;USA;Global North;North America;MoMA (sampled)
Pressing;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96186;M;American;United States;USA;Global North;North America;MoMA (sampled)
Seizures;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96187;M;American;United States;USA;Global North;North America;MoMA (sampled)
Senate Majority;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96188;M;American;United States;USA;Global North;North America;MoMA (sampled)
Something to Say;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96189;M;American;United States;USA;Global North;North America;MoMA (sampled)
Tipping Teal Couple with a Small Dying Plant in a Japanese Water Tub (Summer);Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96190;M;American;United States;USA;Global North;North America;MoMA (sampled)
Turq Green Barn Couple;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96191;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (All Night Dancing);Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96192;M;American;United States;USA;Global North;North America;MoMA (sampled)
Vigilance on the Homefront;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96193;M;American;United States;USA;Global North;North America;MoMA (sampled)
Wave with Strawberry on Crest;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96194;M;American;United States;USA;Global North;North America;MoMA (sampled)
Where There Are Salesmen There Are Sales;Christian Holstad;2003;Still Images;2005;http://www.moma.org/collection/works/96195;M;American;United States;USA;Global North;North America;MoMA (sampled)
Here Kitty Kitty #4 (Avalanche Bare Down and Wait for it to Pass!);Christian Holstad;2004;Still Images;2005;http://www.moma.org/collection/works/96196;M;American;United States;USA;Global North;North America;MoMA (sampled)
LAMENTS: THE KNIFE CUT RUNS AS LONG...;Jenny Holzer;1988;Still Images;2005;http://www.moma.org/collection/works/96197;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (A-Z(2));Louise Hopkins;2002;Still Images;2005;http://www.moma.org/collection/works/96198;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Untitled (Lavender Sky Volcano);Violet Hopkins;2002;Still Images;2005;http://www.moma.org/collection/works/96199;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Lava Eruption);Violet Hopkins;2002;Still Images;2005;http://www.moma.org/collection/works/96200;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Magenta Sky Volcano);Violet Hopkins;2002;Still Images;2005;http://www.moma.org/collection/works/96201;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Winged Smoke Volcano);Violet Hopkins;2002;Still Images;2005;http://www.moma.org/collection/works/96202;F;American;United States;USA;Global North;North America;MoMA (sampled)
Coyote;Violet Hopkins;2003;Still Images;2005;http://www.moma.org/collection/works/96203;F;American;United States;USA;Global North;North America;MoMA (sampled)
Fawn;Violet Hopkins;2003;Still Images;2005;http://www.moma.org/collection/works/96204;F;American;United States;USA;Global North;North America;MoMA (sampled)
Galapagos Lizard;Violet Hopkins;2003;Still Images;2005;http://www.moma.org/collection/works/96205;F;American;United States;USA;Global North;North America;MoMA (sampled)
Must 2;Roni Horn;1984;Still Images;2005;http://www.moma.org/collection/works/96206;F;American;United States;USA;Global North;North America;MoMA (sampled)
Must 7;Roni Horn;1984;Still Images;2005;http://www.moma.org/collection/works/96207;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (Brooklyn Blue 7);Roni Horn;1985;Still Images;2005;http://www.moma.org/collection/works/96208;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Roni Horn;1985;Still Images;2005;http://www.moma.org/collection/works/96209;F;American;United States;USA;Global North;North America;MoMA (sampled)
Was III;Roni Horn;1985;Still Images;2005;http://www.moma.org/collection/works/96210;F;American;United States;USA;Global North;North America;MoMA (sampled)
Was IV;Roni Horn;1985;Still Images;2005;http://www.moma.org/collection/works/96211;F;American;United States;USA;Global North;North America;MoMA (sampled)
Was V;Roni Horn;1985;Still Images;2005;http://www.moma.org/collection/works/96212;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Roni Horn;1986;Still Images;2005;http://www.moma.org/collection/works/96213;F;American;United States;USA;Global North;North America;MoMA (sampled)
As IX;Roni Horn;1988;Still Images;2005;http://www.moma.org/collection/works/96214;F;American;United States;USA;Global North;North America;MoMA (sampled)
Clowndoubt (Joe);Roni Horn;2001;Still Images;2005;http://www.moma.org/collection/works/96215;F;American;United States;USA;Global North;North America;MoMA (sampled)
Stairmaster Suite: Set 6, #6 (7-20-96), Stairmaster Suite: Set 6, #12 (7-30-96), Stairmaster Suite: Set 6, #18 (8-14-96), Stairmaster Suite: Set 6, #24 (8-23-96), Stairmaster Suite: Set 6, #30 (9-6-96);Jonathan Horowitz;1996;Still Images;2005;http://www.moma.org/collection/works/96216;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled XII;Shirazeh Houshiary;2002;Still Images;2005;http://www.moma.org/collection/works/96217;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Untitled XIII;Shirazeh Houshiary;2002;Still Images;2005;http://www.moma.org/collection/works/96218;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Untitled (I);Shirazeh Houshiary;2003;Still Images;2005;http://www.moma.org/collection/works/96219;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Untitled (XI);Shirazeh Houshiary;2003;Still Images;2005;http://www.moma.org/collection/works/96220;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Inlet Intuit;Shelby Hughes;2003;Still Images;2005;http://www.moma.org/collection/works/96222;F;American;United States;USA;Global North;North America;MoMA (sampled)
180 Noll Street #1;Shelby Hughes;2003;Still Images;2005;http://www.moma.org/collection/works/96223;F;American;United States;USA;Global North;North America;MoMA (sampled)
Study for Magnetic Living;Shelby Hughes;2003;Still Images;2005;http://www.moma.org/collection/works/96224;F;American;United States;USA;Global North;North America;MoMA (sampled)
Uproot;Shelby Hughes;2003;Still Images;2005;http://www.moma.org/collection/works/96225;F;American;United States;USA;Global North;North America;MoMA (sampled)
Milk and Glassine;Shelby Hughes;2003;Still Images;2005;http://www.moma.org/collection/works/96226;F;American;United States;USA;Global North;North America;MoMA (sampled)
Phantom Ship;Shelby Hughes;2003;Still Images;2005;http://www.moma.org/collection/works/96227;F;American;United States;USA;Global North;North America;MoMA (sampled)
Eight Doors All the Same Size;Gary Hume;1991;Still Images;2005;http://www.moma.org/collection/works/96228;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Untitled III;Gary Hume;2001;Still Images;2005;http://www.moma.org/collection/works/96229;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
