Title;Artist;dateCreated;Department;dateAcquired;URL;Gender;Nationality;Nation;country_code;Divide;Region;Source
ENSEMBLE, Curated by Christian Marclay;Various Artists;2008;Still Images;2013;http://www.moma.org/collection/works/184314;missing;missing;missing;missing;missing;missing;MoMA (sampled)
Fluxus Anthology;Eric Andersen, Joseph Beuys, John Cage, Philip Corner, Robert Filliou, Ken Friedman, Juan Hidalgo, Dick Higgins, Milan Knížák, Alison Knowles, Walter Marchetti, Yoko Ono, Nam June Paik, Ben Vautier, Wolf Vostell, Robert Watts, Emmett Williams, La Monte Young, Various Artists;1989;Still Images;2013;http://www.moma.org/collection/works/184315;M, M, M, M, M, M, M, M, M, F, missing, F, M, M, M, M, M, M, missing;Danish, German, American, American, French, American, Spanish, American, Czech, American, Italian, American, American, French, German, American, American, American, missing;Germany;DEU;Global North;Europe;MoMA (sampled)
Re: Location;Various Artists;1999;Still Images;2013;http://www.moma.org/collection/works/184316;missing;missing;missing;missing;missing;missing;MoMA (sampled)
Heavy Volume 2;Various Artists;2003;Still Images;2013;http://www.moma.org/collection/works/184317;missing;missing;missing;missing;missing;missing;MoMA (sampled)
HighFidelity;John Cage, Terry Fox, Various Artists;2008;Still Images;2013;http://www.moma.org/collection/works/184318;M, M, missing;American, American, missing;United States;USA;Global North;North America;MoMA (sampled)
High Performance - The Record (Artists Doing Songs);Various Artists;1983;Still Images;2013;http://www.moma.org/collection/works/184319;missing;missing;missing;missing;missing;missing;MoMA (sampled)
XXX Macarena;Tony Conrad, Jutta Koether, John Miller, Various Artists;2010;Still Images;2013;http://www.moma.org/collection/works/184322;M, F, M, missing;American, German, American, missing;Germany;DEU;Global North;Europe;MoMA (sampled)
Mercersound;Various Artists;2005;Still Images;2013;http://www.moma.org/collection/works/184323;missing;missing;missing;missing;missing;missing;MoMA (sampled)
Mercersound;Various Artists;2009;Still Images;2013;http://www.moma.org/collection/works/184324;missing;missing;missing;missing;missing;missing;MoMA (sampled)
The Stockholm Syndrome;Various Artists;1998;Still Images;2013;http://www.moma.org/collection/works/184325;missing;missing;missing;missing;missing;missing;MoMA (sampled)
Music from Abhasa, image-bearing light;Lita Albuquerque, Robert Kramer, Harold Budd, Various Artists;1983;Still Images;2013;http://www.moma.org/collection/works/184326;F, M, missing, missing;missing, missing, missing, missing;missing;missing;missing;missing;MoMA (sampled)
The Needle and the Damage Done (Exhibition of artists' recordworks curated by Dave Dyment);Thomas Brinkmann, Milan Knížák, Christian Marclay, Roger Miller, Lee Ranaldo, Boyd Rice, Christopher Rollen, Various Artists;2005;Still Images;2013;http://www.moma.org/collection/works/184327;M, M, M, M, M, M, M, missing;German, Czech, American, American, missing, American, missing, missing;Germany;DEU;Global North;Europe;MoMA (sampled)
The News Speakers, A Documentation of Occupational Dialect;Various Artists;1990;Still Images;2013;http://www.moma.org/collection/works/184330;missing;missing;missing;missing;missing;missing;MoMA (sampled)
Pop-Tastic! The Definitive Pop Art Exhibition;Peter Blake;1998;Still Images;2013;http://www.moma.org/collection/works/184334;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Sound;Various Artists;1998;Still Images;2013;http://www.moma.org/collection/works/184335;missing;missing;missing;missing;missing;missing;MoMA (sampled)
The Sound of Art;Paddy Johnson, Various Artists;2010;Still Images;2013;http://www.moma.org/collection/works/184602;F, missing;missing, missing;missing;missing;missing;missing;MoMA (sampled)
The time is now!;Studio Apartment, Kid Congo Powers, Khan;2002;Still Images;2013;http://www.moma.org/collection/works/184609;missing, missing, M;Japanese, American, German;Germany;DEU;Global North;Europe;MoMA (sampled)
Aretha;Aretha Franklin, Andy Warhol;1986;Still Images;2013;http://www.moma.org/collection/works/184618;F, M;American, American;United States;USA;Global North;North America;MoMA (sampled)
Ships at Sea, Sailors & Shoes;Lawrence Weiner, Ned Sublette, The Persuasions;1993;Still Images;2013;http://www.moma.org/collection/works/184625;M, M, missing;American, missing, missing;United States;USA;Global North;North America;MoMA (sampled)
Monsters from the Deep;Lawrence Weiner, Ned Sublette;1997;Still Images;2013;http://www.moma.org/collection/works/184626;M, M;American, missing;United States;USA;Global North;North America;MoMA (sampled)
Compositions for Objects of the Dealer with Soundtracks (1995): An Installation by Martin Kersels;Mark Wheaton, Martin Kersels;1998;Still Images;2013;http://www.moma.org/collection/works/184628;M, M;missing, American;United States;USA;Global North;North America;MoMA (sampled)
Workshop;Christoph Rath, Kai Althoff, Stefan Mohr, Stephan Abry, Various Artists;1990;Still Images;2013;http://www.moma.org/collection/works/184633;M, M, M, M, missing;missing, German, missing, missing, missing;Germany;DEU;Global North;Europe;MoMA (sampled)
I Love My Time, I Don’t Like My Time;Bidner / Martinek, Erwin Wurm;2007;Still Images;2013;http://www.moma.org/collection/works/184634;missing, M;missing, Austrian;Austria;AUT;Global North;Europe;MoMA (sampled)
Geist Ueber Materie (Future Organ);Thomas Zipp;2006;Still Images;2013;http://www.moma.org/collection/works/184637;missing;missing;missing;missing;missing;missing;MoMA (sampled)
